start_date,end_date,status,progress,duration_in_seconds,finished,recorded_date,response_id,user_language,consent,state,age,gender,education,ideology_general,household_size,sus_1,sus_2,sus_3,re_1,re_2,re_3,sev_1,sev_2,sev_3,se_1,se_2,se_3,mrr_1,mrr_2,mrr_3,rc_1,rc_2,rc_3,proto_caring,proto_informed,proto_dedicated,proto_pushy,proto_stubborn,proto_arrogant,proto_patriotic,proto_responsible,proto_similarity,willingness_1,willingness_2,att_1,att_2,att_3,att_4,att_5,att_6,sn_1,sn_2,sn_3,sn_4,sn_5,int_1,int_2,int_3,beh_1,beh_2,beh_3,feedback
2018-07-30 18:42:31,2018-07-30 18:47:27,0,100,295,1,2018-07-30 18:47:28,R_2Tuh0s86zBt7Mh0,EN,1,33,35,2,5,4,4,2,4,2,4,2,2,2,2,2,2,4,2,2,2,4,4,2,4,NA,1,1,NA,NA,NA,NA,1,3,2,4,2,4,2,2,4,2,3,3,3,4,4,3,3,3,11,11,NA,NA
2018-07-30 18:38:40,2018-07-30 18:47:36,0,100,535,1,2018-07-30 18:47:36,R_56kVcjCfblpauoV,EN,1,54,27,2,5,9,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,5,5,5,5,5,4,5,5,4,1,1,1,1,1,1,1,1,10,10,10,THE STUDY IS VERY NICE.
2018-07-30 18:39:44,2018-07-30 18:47:51,0,100,486,1,2018-07-30 18:47:52,R_3KW7X7PvHGE09l5,EN,1,54,27,1,5,9,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,NA,NA,1,NA,NA,NA,NA,NA,2,4,4,4,5,4,4,5,5,1,1,1,2,2,5,5,5,10,10,10,NICE
2018-07-30 18:40:31,2018-07-30 18:48:46,0,100,494,1,2018-07-30 18:48:46,R_3PuYARodK0upe1g,EN,1,54,32,2,5,5,2,3,2,2,2,3,2,3,3,3,2,3,3,2,3,4,3,3,3,1,1,1,NA,NA,NA,1,1,2,3,2,3,3,3,3,4,3,2,2,2,2,3,3,3,3,12,12,NA,NA
2018-07-30 18:47:44,2018-07-30 18:51:23,0,100,218,1,2018-07-30 18:51:23,R_3KJ7y9R4u8YxQmN,EN,1,54,27,1,5,8,4,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,NA,1,1,NA,NA,1,1,NA,4,4,4,2,4,4,5,4,5,2,2,2,2,2,2,2,2,10,10,10,NICE
2018-07-30 19:03:08,2018-07-30 19:06:23,0,100,194,1,2018-07-30 19:06:24,R_pbhvbjXWohQmFhL,EN,1,24,25,2,5,6,3,1,3,3,3,2,2,4,3,1,4,4,4,2,3,3,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,4,3,3,4,4,3,3,3,4,1,2,4,2,2,2,2,2,10,10,10,it was good
2018-07-30 19:03:58,2018-07-30 19:08:25,0,100,266,1,2018-07-30 19:08:27,R_2ZK1MNabsxvf4YS,EN,1,27,28,2,5,8,3,3,2,2,4,2,2,2,2,4,2,2,2,2,2,2,4,4,4,1,1,1,NA,NA,NA,NA,1,2,5,5,1,5,1,2,5,1,3,2,2,1,2,1,1,1,10,10,5,nothing
2018-07-30 19:03:46,2018-07-30 19:08:51,0,100,304,1,2018-07-30 19:08:51,R_1nOMVN4Kw499DdZ,EN,1,54,27,2,6,9,4,1,2,2,2,1,2,1,2,2,5,5,4,4,4,4,2,2,1,1,NA,NA,NA,NA,NA,NA,1,3,5,4,5,5,4,4,5,5,2,1,2,5,4,2,1,2,10,10,10,NICE
2018-07-30 19:03:26,2018-07-30 19:14:17,0,100,651,1,2018-07-30 19:14:17,R_2YigZTgwrMHLIgT,EN,1,34,38,1,2,0,1,4,1,4,5,4,4,3,4,5,4,1,5,4,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,2,1,5,4,2,3,3,3,3,2,3,2,5,5,4,4,5,11,11,NA,green power is simply too expensive for many americans. i think climate change is happening but it's not gonna matter in my lifetime i'll be long gone by the time it matters. i also think it will improve temps in my area for the winter months we go a few months with the temps never getting above 0 degrees farenheit it's miserable in northern minnesota near the canadian border we could use warmer temps here
2018-07-30 19:10:43,2018-07-30 19:16:03,0,100,320,1,2018-07-30 19:16:04,R_1dskQGKweRyu2Ns,EN,1,54,27,1,6,8,5,2,3,3,3,2,1,3,2,1,2,2,1,3,2,1,1,2,3,NA,NA,NA,1,1,1,NA,NA,4,2,4,2,5,5,2,4,3,2,1,1,1,2,2,1,1,10,10,5,VERY NICE
2018-07-30 19:07:01,2018-07-30 19:17:17,0,100,615,1,2018-07-30 19:17:17,R_6EXKtwiD6bo9RUB,EN,1,54,27,1,5,8,3,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,2,1,NA,1,NA,NA,1,1,NA,3,2,4,3,5,4,2,4,1,2,2,1,1,2,1,2,1,10,10,10,NICE
2018-07-30 19:15:16,2018-07-30 19:19:36,0,100,259,1,2018-07-30 19:19:37,R_2t9kVWd7rztbER2,EN,1,29,32,2,2,5,6,1,5,1,1,1,1,1,1,2,1,5,2,3,3,5,4,5,5,1,1,1,NA,NA,NA,NA,1,3,4,1,1,5,1,1,5,1,1,1,1,2,2,1,1,1,11,11,NA,NA
2018-07-30 19:19:24,2018-07-30 19:22:13,0,100,169,1,2018-07-30 19:22:14,R_0CFMzCRj7wM0sff,EN,1,54,27,2,5,8,3,1,2,2,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,NA,1,NA,NA,1,1,1,3,3,2,2,4,3,2,5,2,2,2,2,2,2,2,2,1,10,10,10,NICE
2018-07-30 19:36:13,2018-07-30 19:40:43,0,100,269,1,2018-07-30 19:40:43,R_3g4O1oNXnZHsh6I,EN,1,15,23,1,3,5,4,2,2,1,2,2,2,2,1,2,3,2,4,1,5,4,2,2,2,NA,1,NA,NA,NA,NA,NA,1,5,1,1,2,5,1,3,5,1,1,1,1,3,3,2,2,2,11,11,NA,NA
2018-07-30 19:36:57,2018-07-30 19:41:07,0,100,249,1,2018-07-30 19:41:08,R_RFyhvIKjTiXDO8N,EN,1,43,30,2,5,7,3,3,2,3,3,1,2,2,3,3,4,5,1,3,4,4,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,4,2,3,1,4,1,1,5,1,1,1,1,2,3,4,2,3,10,10,10,nice
2018-07-30 19:36:56,2018-07-30 19:41:22,0,100,266,1,2018-07-30 19:41:23,R_2dGsgMN3ZWnfQUW,EN,1,54,68,2,6,7,4,2,4,3,3,2,2,3,2,2,3,2,3,2,4,2,2,2,3,NA,NA,NA,NA,NA,1,NA,NA,3,2,2,1,5,1,2,4,1,3,2,4,3,2,3,2,4,10,10,10,good
2018-07-30 19:37:23,2018-07-30 19:41:33,0,100,250,1,2018-07-30 19:41:34,R_2zoxcOBQsY59ZQe,EN,1,40,32,1,5,6,5,2,4,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,1,1,1,NA,NA,NA,NA,1,3,3,3,2,4,1,2,4,1,1,1,1,2,2,2,2,2,11,11,NA,none
2018-07-30 19:38:39,2018-07-30 19:44:53,0,100,373,1,2018-07-30 19:44:53,R_2az5zGMaptS0rEn,EN,1,57,45,1,5,1,2,2,4,2,3,3,3,1,1,2,5,1,5,3,5,3,5,3,5,1,1,1,NA,NA,NA,NA,1,4,4,3,1,5,1,1,5,1,1,1,1,5,5,3,3,3,11,11,NA,I don't have the possibility of using green power in any way shape or form currently. Either through my current energy provider or my own personal ability (I live in a very shady area that does not receive sunshine). Wish it weren't so. But it is. Good luck.
2018-07-30 19:42:08,2018-07-30 19:47:08,0,100,299,1,2018-07-30 19:47:09,R_2e9aasle50SXWsl,EN,1,54,26,2,5,9,10000,3,4,3,1,2,2,1,1,2,1,1,2,1,2,1,4,4,4,NA,1,1,NA,NA,NA,1,NA,4,4,4,5,5,4,5,4,4,1,1,1,2,1,2,1,1,10,10,7,VERY NICE
2018-07-30 19:43:24,2018-07-30 19:51:47,0,100,503,1,2018-07-30 19:51:48,R_1Fndn1Io1EHmoCk,EN,1,51,21,1,3,3,1,3,4,3,3,2,2,1,2,3,5,3,3,5,5,5,3,3,3,1,1,1,NA,NA,NA,NA,1,3,2,2,1,5,1,1,5,1,2,3,2,2,2,2,2,2,11,11,NA,NA
2018-07-30 19:48:43,2018-07-30 19:52:06,0,100,203,1,2018-07-30 19:52:06,R_3lRqalvP7HTpqvr,EN,1,54,28,1,6,8,4,3,1,1,3,3,1,1,2,2,2,3,1,3,2,2,1,3,2,1,1,NA,NA,1,NA,NA,1,3,3,4,3,5,3,2,4,2,1,1,3,3,1,1,1,2,10,10,5,good and very interesting study
2018-07-30 19:54:55,2018-07-30 20:03:55,0,100,539,1,2018-07-30 20:03:55,R_3hyX0Rtgi7AU9G5,EN,1,32,26,1,5,7,5,2,3,2,2,3,2,2,3,2,3,3,3,3,2,3,2,4,3,NA,NA,1,NA,NA,NA,NA,NA,3,3,2,2,2,1,1,4,1,2,4,2,3,2,3,4,2,10,10,5,NA
2018-07-30 20:09:35,2018-07-30 20:11:57,0,100,141,1,2018-07-30 20:11:57,R_3KPKtjCDYahhq96,EN,1,57,28,1,3,0,1,1,5,1,2,1,1,1,1,1,2,2,4,5,5,1,2,2,4,1,1,1,NA,NA,NA,1,1,4,3,3,1,5,1,1,5,1,1,1,1,2,3,1,1,1,11,11,NA,NA
2018-07-30 20:09:47,2018-07-30 20:15:16,0,100,329,1,2018-07-30 20:15:17,R_3HNfaMhtkjdNZS5,EN,1,15,29,2,4,0,2,1,5,1,4,4,4,1,1,1,4,2,4,5,5,5,4,4,4,1,1,1,NA,NA,NA,NA,1,4,3,2,1,5,1,1,5,1,2,1,1,4,4,2,2,2,12,11,NA,NA
2018-07-30 20:15:07,2018-07-30 20:19:45,0,100,278,1,2018-07-30 20:19:45,R_3kBOAdwgNbqEkkt,EN,1,54,28,1,5,8,4,3,4,3,2,2,3,2,2,3,2,3,3,3,3,2,3,2,3,1,NA,NA,NA,NA,NA,NA,1,2,3,4,3,4,3,3,4,2,3,2,2,3,2,2,2,3,11,11,NA,Very interesting survey
2018-07-30 20:17:54,2018-07-30 20:20:57,0,100,183,1,2018-07-30 20:20:58,R_3JINnsVKgNqbc3V,EN,1,43,21,1,4,9,4,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,3,4,4,4,3,3,2,2,2,3,2,1,1,1,10,10,10,good
2018-07-30 20:18:22,2018-07-30 20:23:21,0,100,298,1,2018-07-30 20:23:22,R_pcUSN2ntoA6iu8F,EN,1,24,29,1,2,5,4,1,5,1,1,1,2,1,1,2,1,5,1,5,4,1,4,2,4,NA,1,1,NA,NA,NA,NA,1,3,3,3,1,5,1,1,5,1,1,1,1,2,2,1,1,2,12,11,NA,NA
2018-07-30 20:13:33,2018-07-30 20:27:06,0,100,813,1,2018-07-30 20:27:07,R_3lDdY8GPplmpv7z,EN,1,57,30,2,3,0,4,3,5,3,2,2,2,2,1,2,4,4,4,4,5,2,3,2,2,1,NA,1,NA,NA,NA,NA,1,2,3,4,1,5,1,1,5,1,1,1,1,4,4,3,3,3,11,11,NA,Thanks for the survey hopefully taking this survey a lot of people will research and look into green power I know I am going to.
2018-07-30 20:20:12,2018-07-30 20:27:43,0,100,451,1,2018-07-30 20:27:44,R_21swwZXM6csR3ER,EN,1,36,23,1,4,6,3,1,5,2,2,2,2,1,1,1,4,1,4,5,5,1,2,4,2,1,1,1,NA,NA,NA,1,1,4,4,5,1,5,1,2,5,1,2,2,2,4,4,3,2,3,11,11,NA,NA
2018-07-30 20:15:21,2018-07-30 20:29:29,0,100,847,1,2018-07-30 20:29:30,R_uerAEbQnFvFJ7pL,EN,1,57,27,1,2,2,2,2,4,2,2,2,2,2,1,2,4,2,4,5,4,2,4,2,4,1,1,1,NA,NA,NA,NA,1,3,4,2,1,5,1,4,5,1,1,1,1,2,2,2,2,2,11,11,NA,NA
2018-07-30 20:21:47,2018-07-30 20:31:55,0,100,607,1,2018-07-30 20:31:56,R_1hFEOARsm5qGiP6,EN,1,54,31,1,5,6,3,2,2,3,3,3,4,3,2,3,2,2,3,4,3,2,2,2,4,NA,NA,1,NA,NA,NA,1,1,2,3,2,1,4,2,1,4,2,1,2,2,4,2,2,1,1,11,12,NA,NA
2018-07-30 20:43:03,2018-07-30 20:47:18,0,100,255,1,2018-07-30 20:47:19,R_2Bao6OdTPpAS0L8,EN,1,44,35,2,5,5,4,2,3,2,2,2,1,3,3,3,3,3,3,4,4,2,2,2,3,1,1,NA,NA,NA,NA,NA,1,3,2,2,1,5,1,1,5,1,2,3,2,4,4,3,3,3,11,11,NA,NA
2018-07-30 20:42:55,2018-07-30 20:50:49,0,100,473,1,2018-07-30 20:50:50,R_u4cBciv1CRV22Ln,EN,1,53,60,1,6,6,4,4,2,4,5,4,4,4,4,4,3,2,4,3,3,2,2,2,2,NA,NA,NA,1,NA,1,NA,NA,1,1,1,3,3,3,4,3,3,3,3,3,5,5,4,5,4,11,11,NA,"natural or human induced climate change ?  which ?  how do we know ?  what if we spend 90 trillion dollars trying to alter the climate and find out the sun's ultraviolet rays or some other natural phenomena are way more influential in climate change than any marginal effect humans have - is that good if we starve the world to feel better ?   let's get the facts then act, even if it does make you feel better"
2018-07-30 20:46:27,2018-07-30 20:51:54,0,100,326,1,2018-07-30 20:51:55,R_2wLiyXMbGY5PiCj,EN,1,24,30,2,5,6,5,3,3,2,2,3,1,1,2,5,2,2,1,4,2,3,3,2,5,1,NA,NA,NA,NA,NA,NA,NA,2,2,3,4,2,3,3,4,4,4,1,2,2,3,2,3,1,10,10,10,THIS VERY EXCELLENT
2018-07-30 20:50:36,2018-07-30 20:53:13,0,100,156,1,2018-07-30 20:53:14,R_2ceCohRQAtgWZjS,EN,1,48,26,2,4,7,3,2,2,4,4,2,4,4,4,3,4,3,2,4,4,4,4,4,3,NA,NA,NA,NA,NA,NA,1,NA,4,2,4,2,4,2,2,4,2,3,4,2,3,3,4,2,3,11,11,NA,NA
2018-07-30 20:50:46,2018-07-30 20:56:08,0,100,321,1,2018-07-30 20:56:08,R_1pyQaBCQuDF7em9,EN,1,54,27,2,5,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,4,4,4,4,4,5,5,4,4,1,1,1,2,1,1,1,1,10,10,10,NICE
2018-07-30 20:56:37,2018-07-30 21:01:59,0,100,322,1,2018-07-30 21:01:59,R_1I3CvCUjyNjPirq,EN,1,54,27,2,6,8,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,1,1,1,1,NA,NA,2,2,2,2,4,5,2,5,4,2,2,2,2,2,2,2,2,10,10,5,I AM USED FACEBOOK THIS IS VERY USEFULL OF ALL TYPE OF PEOPLE. THEN SAFETY THIS FACEBOOK
2018-07-30 20:59:21,2018-07-30 21:03:08,0,100,226,1,2018-07-30 21:03:09,R_u3KADDAHKCLhMJj,EN,1,32,22,2,3,4,3,1,5,1,4,4,4,1,1,2,2,2,3,5,5,1,2,1,3,1,1,NA,NA,NA,NA,NA,1,2,1,5,3,3,2,1,3,3,1,2,1,5,5,4,4,4,11,11,NA,NA
2018-07-30 21:16:24,2018-07-30 21:19:37,0,100,193,1,2018-07-30 21:19:38,R_3MJVaxQ431mpEaE,EN,1,21,23,1,5,0,3,1,5,1,2,2,2,1,2,2,1,5,1,5,5,1,4,3,3,1,1,1,NA,NA,NA,NA,1,3,3,3,2,5,1,1,4,1,3,3,3,3,3,3,3,3,11,11,NA,NA
2018-07-30 21:16:08,2018-07-30 21:20:16,0,100,247,1,2018-07-30 21:20:17,R_TmRYPWmANOCpElj,EN,1,13,29,1,4,7,1,2,4,2,4,3,2,4,4,2,2,2,2,4,4,2,2,2,2,NA,1,1,NA,NA,NA,NA,1,2,3,2,2,4,2,2,4,2,2,2,2,4,4,2,2,3,12,11,NA,NA
